RETURN OF INSTANCES
Run closed 89,191 ms after opening.

  INST    OPENED    CLOSED   STATE
  00621       394      7654   completed
  00831       490      7764   completed
  00499       292      7806   empty
  00758       461      7849   completed
  00952       580      7924   completed
  00850       511      8060   completed
  00661       406      8190   completed
  00798       465      8314   completed
  00316       216      8331   completed
  00019        25      8334   completed
  00392       247      8438   empty
  01343       775      8528   completed
  00321       219      8692   completed
  00937       555      8749   completed
  00137       125      8776   completed
  01179       673      8777   completed
  01452       869      8786   completed
  01356       777      8849   completed
  00381       224      9210   completed
  01398       833      9219   completed
  01107       660      9251   empty
  00389       232      9372   completed
  00420       249      9412   completed
  01297       759      9463   completed
  01233       742      9546   completed
  00763       449      9555   completed
  00534       327      9712   completed
  01149       693      9848   completed
  00317       228     10026   completed
  00739       454     10100   completed
  00713       412     10114   completed
  00923       550     10221   completed
  00733       443     10263   completed
  00516       307     10402   completed
  01377       821     10417   completed
  01120       661     10455   completed
  00959       568     10683   completed
  01412       821     10695   killed
  01463       876     10711   completed
  01027       603     10810   completed
  00908       552     10833   completed
  00072        63     10956   completed
  00250       178     11008   completed
  01450       836     11022   completed
  01199       697     11074   completed
  00212       147     11092   completed
  00310       183     11115   completed
  01389       807     11115   completed
  00005        44     11122   empty
  00481       286     11200   completed
  00551       336     11271   completed
  01015       593     11284   empty
  01174       689     11316   completed
  01286       760     11402   completed
  01510       896     11431   completed
  00299       176     11534   completed
  00483       312     11561   completed
  00956       572     11561   completed
  00431       264     11576   killed
  01103       667     11578   completed
  01228       700     11606   completed
  00656       406     11613   completed
  00706       429     11628   completed
  00759       438     11643   completed
  00562       350     11644   completed
  01307       770     11678   completed
  00095        80     11792   completed
  01291       743     11812   completed
  00740       450     11889   completed
  00238       166     11959   completed
  01453       864     12117   completed
  00642       391     12167   killed
  00356       223     12264   completed
  00173       135     12377   completed
  01061       603     12605   completed
  00553       331     12665   completed
  00976       587     12748   completed
  01122       671     12770   killed
  00451       267     12782   completed
  00691       413     13132   completed
  00147       101     13154   completed
  01313       767     13234   completed
  00154       113     13235   completed
  00861       511     13288   completed
  00425       264     13407   completed
  01115       654     13417   completed
  00655       379     13433   completed
  00896       543     13479   completed
  01304       779     13492   completed
  00581       332     13694   completed
  00814       469     13720   completed
  00007        50     13751   completed
  00880       502     13825   completed
  00677       407     13947   completed
  00670       389     14016   completed
  01465       879     14108   completed
  01278       737     14143   completed
  00163       144     14233   completed
  00752       460     14462   completed
  01436       840     14509   completed
  01486       860     14539   completed
  01204       715     14686   completed
  00459       278     14781   completed
  00078        55     14806   completed
  00914       538     14972   completed
  01226       698     14988   completed
  00782       480     15051   completed
  00119       103     15148   completed
  00500       314     15160   completed
  00522       313     15539   completed
  00875       530     15769   completed
  00366       233     15943   completed
  01189       715     16187   completed
  00614       384     16326   completed
  00244       177     16405   completed
  00917       532     16488   completed
  00626       385     16525   completed
  00685       413     16551   killed
  00879       521     16607   completed
  01484       861     16629   completed
  00126       121     16767   completed
  01288       768     16779   completed
  00542       348     16788   completed
  00116       111     16824   completed
  00041        59     16901   completed
  00644       380     16968   empty
  00268       169     17139   completed
  00717       446     17163   completed
  01244       731     17318   completed
  00920       547     17345   completed
  01129       679     17366   completed
  01272       761     17560   completed
  00882       508     17561   completed
  00142       101     17591   completed
  00577       367     17710   completed
  00531       309     17736   completed
  01003       583     17738   completed
  00202       164     17992   completed
  01155       660     18107   completed
  00171       141     18301   completed
  00999       594     18444   completed
  00598       373     18498   completed
  00117        94     18554   completed
  01403       818     18873   completed
  00139       131     19000   completed
  00794       469     19050   completed
  00774       475     19111   completed
  00812       498     19211   completed
  00870       522     19248   completed
  00036        52     19663   completed
  00966       555     19687   completed
  01474       856     19783   completed
  00902       549     19791   completed
  00637       406     19898   completed
  01007       569     19955   completed
  01416       817     20271   completed
  00559       330     20309   completed
  00837       516     20421   completed
  01283       764     20542   completed
  00111        82     20614   completed
  01392       823     20780   completed
  01405       808     20875   completed
  00727       426     20937   completed
  00475       305     21049   completed
  00132        97     21188   completed
  01064       617     21195   completed
  01184       687     21279   completed
  01035       622     21513   completed
  00847       501     21627   completed
  00433       257     21948   completed
  00053        60     22039   completed
  01130       667     22110   completed
  01093       630     22514   empty
  00288       202     22781   completed
  00462       278     23210   completed
  00650       400     23503   completed
  00375       254     24096   completed
  01167       698     24328   completed
  01033       620     24463   killed
  01446       858     24673   completed
  00607       352     24693   completed
  00301       208     24888   completed
  00617       381     24953   completed
  01361       775     24996   completed
  01393       830     25054   completed
  01298       763     25069   completed
  00335       226     25147   completed
  00632       374     25204   completed
  00166       113     25362   completed
  01249       737     25679   completed
  01067       611     25813   completed
  01514       903     25887   completed
  00446       274     26081   completed
  01216       729     26202   killed
  00008        46     26778   completed
  01030       622     27301   completed
  00024        26     27559   completed
  01282       732     28038   completed
  00255       167     28217   completed
  00750       430     28663   completed
  01135       683     28988   completed
  01257       734     29545   completed
  00984       561     30000   completed
  01390       821     31014   completed
  00890       542     31081   completed
  00101       102     31152   completed
  01334       776     31211   completed
  01378       825     31323   completed
  01214       708     31401   completed
  00408       276     31743   completed
  00414       253     32514   completed
  01427       824     32574   completed
  00683       428     32957   completed
  01058       629     33107   completed
  01504       899     33758   completed
  00585       359     34630   completed
  00667       408     34637   completed
  01141       674     34836   completed
  00701       426     34931   completed
  00267       194     35119   completed
  01081       643     35174   completed
  00046        69     35185   completed
  00943       575     35491   completed
  00125       101     35930   completed
  00295       193     35953   completed
  00440       281     36424   completed
  00351       213     36475   completed
  01441       859     36483   completed
  00248       176     36506   completed
  00841       509     37148   completed
  01125       648     37493   completed
  00330       203     37856   completed
  00738       438     38159   completed
  00978       570     38317   completed
  00743       439     39008   completed
  00657       410     39663   completed
  00071        74     40621   completed
  00396       270     40889   completed
  01014       593     42244   completed
  01462       879     42930   completed
  00888       518     43078   completed
  01423       817     44803   completed
  01095       638     45361   completed
  01260       749     46338   completed
  00030        49     46712   completed
  00284       206     46801   completed
  00176       154     47083   killed
  00434       255     48162   completed
  01317       784     48460   completed
  00108        83     48792   completed
  01479       859     48925   completed
  00009        30     49125   completed
  01080       645     52062   completed
  00344       211     53972   completed
  00140       112     55289   completed
  01468       885     55399   completed
  01182       702     55917   completed
  00120        80     59217   completed
  00469       291     59984   killed
  00013        28     60004   timeout
  00011        47     60030   timeout
  00103        71     60095   timeout
  00233       154     60144   timeout
  00315       186     60181   timeout
  00196       162     60182   timeout
  00350       209     60203   timeout
  00261       194     60206   timeout
  00361       230     60216   timeout
  00487       288     60253   timeout
  00619       394     60388   timeout
  00709       415     60412   timeout
  00778       476     60478   timeout
  00790       478     60478   timeout
  00856       507     60490   timeout
  00817       475     60503   timeout
  00929       565     60565   timeout
  01076       613     60608   timeout
  01144       680     60679   timeout
  01222       729     60765   timeout
  01348       799     60815   timeout
  01433       825     60827   timeout
  01391       825     60829   timeout
  01421       843     60829   timeout
  01367       816     60831   timeout
  00723       418     61390   killed
  00305       185     61517   completed
  01219       705     62568   completed
  00592       378     70378   killed
  01325       786     76016   completed
  00948       570     88570   completed
  01265       734     88734   completed
  00000         0     89191   completed

  TOTAL BORNE ON THE ROLL               329
  completed 271 · empty 12 · error 21 · timeout 25
